repo,pr_number,url,Time to Merge (days),Number of Unique Reviewers,Total Discussion Comments,Commits After First Review,Time Between First and Last Comments (days),Requested Changes,log1p Time to Merge (days),log1p Number of Unique Reviewers,log1p Total Discussion Comments,log1p Commits After First Review,log1p Time Between First and Last Comments (days),log1p Requested Changes
amrex,4480,https://github.com/AMReX-Codes/amrex/pull/4480,0.21,1,1,0,,0,0.1906203596086497,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4481,https://github.com/AMReX-Codes/amrex/pull/4481,5.97,1,0,0,,0,1.9416152247724325,0.6931471805599453,0.0,0.0,,0.0
amrex,4485,https://github.com/AMReX-Codes/amrex/pull/4485,12.84,1,0,0,,0,2.6275629501895237,0.6931471805599453,0.0,0.0,,0.0
amrex,4486,https://github.com/AMReX-Codes/amrex/pull/4486,2.92,1,0,0,,0,1.366091653802371,0.6931471805599453,0.0,0.0,,0.0
amrex,4488,https://github.com/AMReX-Codes/amrex/pull/4488,0.99,1,1,0,,0,0.688134638736401,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4489,https://github.com/AMReX-Codes/amrex/pull/4489,1.83,2,8,3,0.06,1,1.0402767116551463,1.0986122886681096,2.1972245773362196,1.3862943611198906,0.058268908123975775,0.6931471805599453
amrex,4490,https://github.com/AMReX-Codes/amrex/pull/4490,0.77,2,3,0,0.7,0,0.5709795465857378,1.0986122886681096,1.3862943611198906,0.0,0.5306282510621704,0.0
amrex,4493,https://github.com/AMReX-Codes/amrex/pull/4493,6.96,1,1,1,,0,2.0744289998562917,0.6931471805599453,0.6931471805599453,0.6931471805599453,,0.0
amrex,4495,https://github.com/AMReX-Codes/amrex/pull/4495,5.64,2,12,6,4.32,2,1.8931119634883424,1.0986122886681096,2.5649493574615367,1.9459101490553132,1.6714733033535532,1.0986122886681096
amrex,4500,https://github.com/AMReX-Codes/amrex/pull/4500,0.69,1,1,0,,0,0.5247285289349821,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4501,https://github.com/AMReX-Codes/amrex/pull/4501,1.7,1,0,0,,0,0.9932517730102834,0.6931471805599453,0.0,0.0,,0.0
amrex,4503,https://github.com/AMReX-Codes/amrex/pull/4503,15.95,1,0,0,,0,2.830267833826459,0.6931471805599453,0.0,0.0,,0.0
amrex,4509,https://github.com/AMReX-Codes/amrex/pull/4509,0.72,1,1,0,,0,0.5423242908253616,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4510,https://github.com/AMReX-Codes/amrex/pull/4510,1.9,1,0,0,,0,1.0647107369924282,0.6931471805599453,0.0,0.0,,0.0
amrex,4511,https://github.com/AMReX-Codes/amrex/pull/4511,3.03,1,1,0,,0,1.3937663759585917,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4512,https://github.com/AMReX-Codes/amrex/pull/4512,0.04,1,1,0,,0,0.039220713153281295,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4514,https://github.com/AMReX-Codes/amrex/pull/4514,0.08,2,4,1,0.03,0,0.07696104113612832,1.0986122886681096,1.6094379124341003,0.6931471805599453,0.0295588022415444,0.0
amrex,4515,https://github.com/AMReX-Codes/amrex/pull/4515,2.82,2,0,10,,0,1.3402504226184837,1.0986122886681096,0.0,2.3978952727983707,,0.0
amrex,4517,https://github.com/AMReX-Codes/amrex/pull/4517,0.14,1,0,0,,0,0.1310282624064041,0.6931471805599453,0.0,0.0,,0.0
amrex,4519,https://github.com/AMReX-Codes/amrex/pull/4519,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4520,https://github.com/AMReX-Codes/amrex/pull/4520,23.14,3,37,10,21.04,0,3.183870215669385,1.3862943611198906,3.6375861597263857,2.3978952727983707,3.092858984284714,0.0
amrex,4521,https://github.com/AMReX-Codes/amrex/pull/4521,1.93,1,1,0,,0,1.0750024230289759,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4523,https://github.com/AMReX-Codes/amrex/pull/4523,0.22,2,2,1,0.01,0,0.1988508587451652,1.0986122886681096,1.0986122886681096,0.6931471805599453,0.009950330853168083,0.0
amrex,4526,https://github.com/AMReX-Codes/amrex/pull/4526,6.28,2,3,1,0.1,0,1.9851308622085946,1.0986122886681096,1.3862943611198906,0.6931471805599453,0.09531017980432487,0.0
amrex,4528,https://github.com/AMReX-Codes/amrex/pull/4528,0.89,1,4,0,0.59,0,0.636576829071551,0.6931471805599453,1.6094379124341003,0.0,0.46373401623214017,0.0
amrex,4531,https://github.com/AMReX-Codes/amrex/pull/4531,4.84,1,8,0,6.18,0,1.7647307968401358,0.6931471805599453,2.1972245773362196,0.0,1.9712993830601329,0.0
amrex,4534,https://github.com/AMReX-Codes/amrex/pull/4534,0.05,2,2,1,0.03,0,0.04879016416943201,1.0986122886681096,1.0986122886681096,0.6931471805599453,0.0295588022415444,0.0
amrex,4537,https://github.com/AMReX-Codes/amrex/pull/4537,8.75,3,3,0,0.0,0,2.277267285009756,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0
amrex,4539,https://github.com/AMReX-Codes/amrex/pull/4539,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4545,https://github.com/AMReX-Codes/amrex/pull/4545,9.09,2,11,0,25.07,0,2.3115448343655176,1.0986122886681096,2.4849066497880004,0.0,3.2607852279454104,0.0
amrex,4546,https://github.com/AMReX-Codes/amrex/pull/4546,0.04,1,0,0,,0,0.039220713153281295,0.6931471805599453,0.0,0.0,,0.0
amrex,4547,https://github.com/AMReX-Codes/amrex/pull/4547,19.96,1,1,0,,0,3.0426158594528414,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4548,https://github.com/AMReX-Codes/amrex/pull/4548,0.07,1,0,0,,0,0.06765864847381481,0.6931471805599453,0.0,0.0,,0.0
amrex,4549,https://github.com/AMReX-Codes/amrex/pull/4549,0.02,1,0,0,,0,0.019802627296179712,0.6931471805599453,0.0,0.0,,0.0
amrex,4553,https://github.com/AMReX-Codes/amrex/pull/4553,1.31,1,3,1,0.17,0,0.8372475245337022,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.15700374880966475,0.0
amrex,4554,https://github.com/AMReX-Codes/amrex/pull/4554,6.12,2,5,0,5.05,0,1.9629077254238845,1.0986122886681096,1.791759469228055,0.0,1.80005827204275,0.0
amrex,4555,https://github.com/AMReX-Codes/amrex/pull/4555,0.1,1,0,0,,0,0.09531017980432487,0.6931471805599453,0.0,0.0,,0.0
amrex,4556,https://github.com/AMReX-Codes/amrex/pull/4556,0.69,1,0,0,,0,0.5247285289349821,0.6931471805599453,0.0,0.0,,0.0
